pre_vol_bucket,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
Q01,32164,3750,32164,32164,32164,0.2000012436341477,0.4167129681075675,0.0007505971950359554,0.006300150876687197,3.5129011022273475e-05,0.0006817443334322993,0.0008194500566396114,0.0003358915267384731,-0.0027754575281073697,0.0036545686201675085,0.5271421464991917,0.000690013238289911,0.00034519383961781564,0.7695435783204865,0.9107468123861672,0.5845674201090952,1.175088131609869,0.6157816192015918,False,False,True
Q02,32164,5777,32164,32164,32164,0.2000012436341477,0.641960217801978,0.0007946815586156788,0.00786961118021343,4.388016466616598e-05,0.0007086764358699934,0.0008806866813613641,0.000487398166182407,-0.0027548411510918314,0.0039641366625594735,0.543495833851511,0.0011738629723988517,0.0009446744286330319,0.6460181796924948,0.8508784469085884,0.3607272727272754,1.3035714285714355,0.602132819301082,False,False,True
Q03,32164,6409,32164,32164,32164,0.2000012436341477,0.7121902433603734,0.0009679299296888851,0.0077626359005917795,4.328368120878634e-05,0.0008830939145196638,0.0010527659448581062,0.0006449352858023988,-0.0026777970521357887,0.004310546299324795,0.5548439248849646,0.001398364962533482,0.0012393803098451003,0.8508768352744637,0.836431226765798,0.22535211267605154,1.3675213675213687,0.5947643327944285,False,False,True
Q04,32164,6417,32164,32164,32164,0.2000012436341477,0.7130792310256695,0.000999776135109895,0.00948339332930584,5.28784524869848e-05,0.0008961343682354048,0.0011034179019843852,0.0007200574605488817,-0.0029732364478309136,0.004661656158823161,0.5592587986568834,0.0015026418891791423,0.00136332651670077,-0.39358813593284736,0.8358208955223914,0.07142857142855721,1.4574468085106431,0.5832918791195125,False,False,True
Q05,32163,5784,32163,32163,32163,0.19999502546340917,0.6427380820091121,0.0014488723183881628,0.0211481844764305,0.00011792199413000497,0.001217745209893353,0.0016799994268829725,0.0008734805006327118,-0.004676748120786161,0.006952140315924567,0.54481858035631,0.0017670619828561154,0.001345895020188449,0.3673004428205911,0.8653846153845935,-0.16300715601411658,1.7786065964745865,0.5558871995771538,False,False,True
