offset,n_events,n_tickers,n_abn_ret_cc,mean_abn_ret_cc,stddev_abn_ret_cc,median_abn_ret_cc,p25_abn_ret_cc,p75_abn_ret_cc,se_abn_ret_cc,ci95_low_abn_ret_cc,ci95_high_abn_ret_cc,n_calendar_dates,top_calendar_date_events,top_calendar_date_share
-4,158413,8939,158413,0.00015518667595561418,0.056952730351718765,-0.00040217008217013905,-0.00631166381610071,0.005773195706856082,0.0001430932474528208,-0.0001252760890519146,0.00043564944096314293,1240,808,0.005100591491859885
-3,158413,8939,158413,0.002062007088148171,0.45317974085223584,-0.00018067267708732349,-0.006077251348658885,0.005807776093033068,0.0011386102193503911,-0.00016966894177859564,0.004293683118074937,1240,808,0.005100591491859885
-2,158413,8939,158413,0.0005807778262094753,0.08586118782185334,-0.00038735670459222327,-0.006347383577502974,0.005817652132570794,0.0002157254993695803,0.00015795584744509792,0.0010035998049738528,1240,808,0.005100591491859885
-1,158413,8939,158413,-7.16017556968685e-05,0.018158802280764035,-0.0001746007740385247,-0.0064194379459880935,0.005974001751474445,4.562383527815885e-05,-0.00016102447284205984,1.7820961448322827e-05,1240,808,0.005100591491859885
0,158413,8939,158413,-0.008714477915513887,0.021474739968493847,-0.006877405977615991,-0.014843022701655606,-0.00023179060808387053,5.395510033179533e-05,-0.008820229912164206,-0.008608725918863568,1240,808,0.005100591491859885
1,158413,8939,158413,-0.0005105019912171304,0.03432731237645439,-0.0006113264558500475,-0.007145722249441544,0.005677225220867443,8.624707847963653e-05,-0.000679546265037218,-0.0003414577173970428,1240,808,0.005100591491859885
2,158413,8939,158413,0.0003810800758032901,0.06816835616760526,-0.00042503399895421623,-0.006779206688364403,0.005626315652013769,0.00017127241130150288,4.538614965234446e-05,0.0007167740019542357,1240,808,0.005100591491859885
3,158413,8939,158413,0.00016008615150791698,0.05843906877762318,-0.00030701418647205436,-0.006618464568013183,0.005937490426414449,0.00014682766002379173,-0.0001276960621387148,0.00044786836515454877,1240,808,0.005100591491859885
