pre_avg_dollar_volume_bucket,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
Q01,32260,3952,32260,32260,32260,0.20000495982541414,0.4386237513873474,0.0012811683882807954,0.015013529046618599,8.358928434516012e-05,0.0011173333909642817,0.0014450033855973091,0.0006450686954415203,-0.0036225036383881145,0.005525312585786662,0.5424674519528828,0.0015105283362512629,0.0007649223687259877,0.3851448533858543,0.871138511023246,0.2023323865863688,1.4288747346072073,0.5822070675759454,False,False,True
Q02,32259,4092,32259,32259,32259,0.19999876004364647,0.4541620421753607,0.0013415346815888358,0.011298635412844423,6.290722745205942e-05,0.0012182365157827994,0.0014648328473948723,0.0008976768270875844,-0.003022829377272102,0.005228542252226569,0.561362720481106,0.00169824692279547,0.0010838341666142871,0.7779559295137907,0.8387499999999992,0.29866666666666786,1.3043478260869288,0.6087913450509935,False,False,True
Q03,32259,3793,32259,32259,32259,0.19999876004364647,0.420976692563818,0.0009556459290479154,0.009208432881892431,5.12696410329075e-05,0.0008551574326234167,0.001056134425472414,0.0006856941706025826,-0.0028174677304392136,0.004289962036454381,0.5548839083666574,0.0013209666253191678,0.0009321287189238649,0.4029533325169102,0.8511845651865332,0.3478260869565298,1.2847756653210782,0.6052884466350476,False,False,True
Q04,32259,3500,32259,32259,32259,0.19999876004364647,0.38845726970033295,0.000782395885101957,0.011855244747859709,6.600625213604391e-05,0.0006530236309153109,0.0009117681392886031,0.00045067603188899807,-0.0028742455929316943,0.0039464965509344785,0.5383303884187358,0.001082124106408545,0.0006182688472277512,0.01291450024892221,0.8947368421052722,0.3483106931382513,1.3450292397660844,0.5836820732198766,False,False,True
Q05,32259,2561,32259,32259,32259,0.19999876004364647,0.2842397336293008,0.000622696953618934,0.011109620901870407,6.185485445309841e-05,0.0005014614388908611,0.0007439324683470069,0.00035143567005619953,-0.0030077742203061444,0.004021960746225562,0.5327815493350693,0.0009481846177147126,0.0005490665868024702,0.664527492246844,0.8924731182795833,0.08695652173911313,1.5115011743824287,0.5726153941535695,False,False,True
