dimension,actual_bucket_count,low_bucket_mean_bps,high_bucket_mean_bps,high_minus_low_bps,mean_range_bps,median_range_bps,positive_rate_range_pp,monotonic_step_count,spearman_bucket_mean
liquidity,5,12.811683882807959,6.22696953618934,-6.584714346618618,7.18837727969902,5.45820347139599,2.8581171146036755,1,-0.9
volatility,5,7.5059719503595534,14.488723183881625,6.982751233522072,6.982751233522072,5.370234607504543,3.211665215769177,4,1.0
yield,5,1.1927496718254593,25.470112165498367,24.27736249367291,24.27736249367291,17.60569771383023,10.023560373785735,4,1.0
