div_yield_bucket,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
Q01,32260,3922,32260,32260,32260,0.20000495982541414,0.43529411764705883,0.00011927496718254599,0.010030999874760268,5.58485681943279e-05,9.811773521663299e-06,0.00022873816084342867,2.319944206768845e-06,-0.003391889931315676,0.0036270299867437457,0.5003409795412276,0.00045514766696747657,0.000343752366527841,-1.0625412629421025,0.7894736842105563,-1.100967473372986,2.4399999999999977,0.5547737135771854,False,False,True
Q02,32259,3734,32259,32259,32259,0.19999876004364647,0.4144284128745838,0.000540686077561258,0.007921041605442053,4.410185369503173e-05,0.00045424644431899577,0.0006271257108035202,0.0002908708472479322,-0.0030102725458698173,0.003691404107328922,0.5250627731795778,0.0006876317466603094,0.0004044294655754315,0.8072752668748555,0.8870020553978853,0.15372070952130124,1.449537959775355,0.5793731981772529,False,False,True
Q03,32259,4098,32259,32259,32259,0.19999876004364647,0.4548279689234184,0.0006759515612147505,0.0088505285805027,4.927694311223655e-05,0.0005793687527147668,0.0007725343697147342,0.0004343809224797052,-0.0028959451087444315,0.003983682737098381,0.5357884621345981,0.001008020008665138,0.0007021318594553151,0.8139908269228805,0.8683786130753044,0.2857142857142796,1.3636363636363507,0.5877119563532658,False,False,True
Q04,32259,4007,32259,32259,32259,0.19999876004364647,0.4447280799112098,0.001100554032781589,0.01013003787096661,5.6400846045747785e-05,0.0009900083745319234,0.0012110996910312546,0.0008922521823688135,-0.002863641246832754,0.004844412434730559,0.5680585263027372,0.0014725209844649386,0.0012528548123980536,0.8249518913536741,0.8541392904073756,0.37509377344336614,1.2903225806451482,0.5964537028426176,False,False,True
Q05,32259,4547,32259,32259,32259,0.19999876004364647,0.504661487236404,0.0025470112165498367,0.01882587835200069,0.00010481653475850731,0.0023415708084231625,0.002752451624676511,0.0017628897155897918,-0.003086069296062149,0.007125921047528728,0.6005765832790849,0.0029367629175832866,0.0022675145954961983,0.8598642626711891,0.8877419354838704,0.5925925925925931,1.1232653061224482,0.6342726060944233,False,False,True
