sic_description,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
LIFE INSURANCE,455,26,455,455,455,0.002820900704295209,0.0028856825749167593,0.001853460792716878,0.009143282862370825,0.00042864371203954666,0.0010133191171193667,0.0026936024683143892,0.002011111111111032,-0.002265011071264764,0.005562704258927959,0.6263736263736264,0.0025558319179792024,0.003262500000000017,0.8928330731177085,0.7811023622047212,0.5086956632325105,1.0378378378378403,0.7164835164835165,False,False,True
ELECTRIC & OTHER SERVICES COMBINED,454,29,454,454,454,0.002814700922527527,0.003218645948945616,0.0025494456180655796,0.013411550022384576,0.000629435230391135,0.001315752566498955,0.003783138669632204,0.0013177487930757835,-0.002872394081951705,0.006986980496554798,0.5881057268722467,0.0031001814430007503,0.001257912676513557,0.7486198398899311,0.862068965517223,0.4473684210526361,1.1686956521739178,0.6211453744493393,False,False,True
PHARMACEUTICAL PREPARATIONS,357,20,357,357,357,0.002213322091062395,0.0022197558268590455,0.0014355456071429226,0.01019074860534691,0.0005393516107778704,0.0003784164500182966,0.002492674764267549,0.0007933915930858539,-0.0029109256743645837,0.004083192053296382,0.5546218487394958,0.0019063917255733936,0.001608751608751646,0.6786886201902025,0.7987804878048795,0.2680965147453026,1.358974358974362,0.5994397759103641,False,False,True
OIL ROYALTY TRADERS,327,9,327,327,327,0.002027328638031941,0.0009988901220865706,0.0019741859299433487,0.01725575971529421,0.0009542456927096688,0.00010386437223239807,0.0038445074876542994,0.0014173111064439059,-0.007096984714522909,0.00860435515495339,0.5290519877675841,0.0033608974030883937,0.0021123252450587493,0.7167106165718242,0.6198987498708534,-0.40190233773194634,1.6532386946027502,0.617737003058104,False,False,True
"SERVICES-BUSINESS SERVICES, NEC",324,19,324,324,324,0.002008729292728896,0.002108768035516093,0.0011575094187017865,0.008009371530759743,0.00044496508504220794,0.0002853778520190589,0.002029640985384514,0.0006320842088853595,-0.0023224174488050793,0.004446456472838352,0.5401234567901234,0.0012858510370239405,0.0016170495065925487,0.9548681269733,0.7388888888889116,0.04000000000007731,1.6428571428571457,0.5648148148148148,False,False,True
RETAIL-EATING PLACES,323,20,323,323,323,0.002002529510961214,0.0022197558268590455,0.0015855010809035846,0.007661068685450717,0.0004262732644503047,0.0007500054825809874,0.0024209966792261817,0.001044423260706361,-0.002315685374043693,0.004968450444107004,0.5789473684210527,0.0012542249162149697,0.001037075447238868,0.479056523526286,0.8499999999999943,0.0,1.5867768595041218,0.5510835913312694,False,False,True
SEMICONDUCTORS & RELATED DEVICES,320,18,320,320,320,0.0019839301656581687,0.001997780244173141,0.0011507939371295111,0.010008106792316911,0.0005594701778424496,5.4232388558309854e-05,0.0022473554857007126,0.00035948499622494214,-0.0037185706897825276,0.005409883252277429,0.521875,0.0016584729427009282,0.0008986340762042003,-4.263489187325644,0.7096774193548351,-1.4492753623188408,2.485294117647076,0.56875,False,False,True
REAL ESTATE,314,20,314,314,314,0.0019467314750520781,0.0022197558268590455,0.001326717495616537,0.011971026548582156,0.0006755641111237363,2.6118378140139314e-06,0.00265082315341906,0.0013247251454215833,-0.0032900440013475646,0.006557552148781124,0.5700636942675159,0.0017585938572797694,0.0019944636873536034,0.8654297655420339,0.8799999999999955,0.4800000000000019,1.2187500000000018,0.5955414012738853,False,False,True
COMMODITY CONTRACTS BROKERS & DEALERS,305,26,305,305,305,0.001890933439142942,0.0028856825749167593,0.0005573550772463322,0.014016217476325902,0.0008025662780325142,-0.0010156748276973957,0.00213038498219006,-0.0002601177359858962,-0.004181220679966868,0.004117236396882916,0.4885245901639344,0.001191533871768866,0.00013889328063239288,-17.88914279306295,0.9679635296321736,-0.8363332242463539,2.8438150770512296,0.5147540983606558,False,False,True
HOTELS & MOTELS,282,17,282,282,282,0.0017483384584862612,0.0018867924528301887,0.00026292234360262255,0.008255938788017897,0.0004916340003747325,-0.0007006802971318532,0.0012265249843370983,0.00024290378376683533,-0.0035936221495024663,0.004521871578847285,0.5177304964539007,0.0012919935573559368,0.0007487922705314611,0.4940728843799051,0.8733333333333325,-0.16666666666667299,1.8024466253758396,0.549645390070922,False,False,True
NATURAL GAS TRANSMISSION,281,16,281,281,281,0.0017421386767185795,0.0017758046614872365,0.0014188952550314483,0.013402177503822707,0.0007995068805918917,-0.00014813823092865936,0.002985928740991556,-0.000130358451504318,-0.004804924099167242,0.005483784796763699,0.49466192170818507,0.001916267677902203,0.0007022471910112584,0.9506137814865309,0.9599999999999937,0.63157894736843,1.279014684983418,0.5551601423487544,False,False,True
FINANCE SERVICES,266,26,266,266,266,0.0016491419502033529,0.0028856825749167593,0.0009964082284094817,0.012362385264073012,0.0007579864735272402,-0.0004892452597039091,0.0024820617165228725,0.000803289884766873,-0.004263527341239402,0.007051916469134707,0.5526315789473685,0.0011807608607047825,0.0024700950823024,-0.42534988444565414,0.7111100997545248,-0.1428571428571398,1.399999999999988,0.6127819548872181,False,False,True
WATER SUPPLY,239,11,239,239,239,0.0014817478424759447,0.001220865704772475,0.002369924303145971,0.012605161411360031,0.0008153601104115755,0.0007718184867392828,0.0039680301195526586,0.001035214232201479,-0.0030720568875826746,0.005288325864230142,0.5523012552301255,0.0030246810400161635,0.0014501474926253688,0.2536343931678512,0.7631055076310564,0.0,1.399999999999999,0.5941422594142259,False,False,True
