ticker,n_days,total_volume,total_trades,last_close
IRDM,1,852993,16665,34.43
IREN,1,10389062,34219,5.1
IRIX,1,25835,216,2.68
IRM,1,805844,13623,68.56
IRMD,1,86614,1725,46.55
IROHU,1,25186,31,10.15
IRON,1,99792,3039,66.73
IROQ,1,6645,44,16.39
IRRX,1,38806,29,11.145
IRS,1,122078,1489,7.54
IRT,1,1350177,12261,14.88
IRTC,1,191407,5524,121.07
IRTR,1,79,4,26.9958
IRVH,1,1000,8,21.35
IRWD,1,2312679,20183,14.9
ISCB,1,4283,50,52.4749
ISCF,1,25892,235,31.3
ISCG,1,32574,284,43.89
ISCV,1,5054,92,56.8729
ISD,1,190582,1196,12.75
ISDB,1,510,3,24.9142
ISDR,1,2457,52,15.01
ISEP,1,3062,27,26.0601
ISHG,1,669,25,69.885
ISHP,1,0,0,28.1072
ISMD,1,17601,113,33.65
ISPC,1,4781,40,0.457151
ISPO,1,10560,109,4.1924
ISPOW,1,55055,41,0.0145
ISPR,1,359434,3727,8.425
ISPY,1,10615,191,41.3608
ISRA,1,770,28,35.6098
ISRG,1,984980,29847,386.94
ISSC,1,9389,403,8.24
ISTB,1,1243711,2624,47.39
ISTR,1,19152,865,17.11
ISUN,1,704931,1134,0.207
ISVL,1,720,22,33.119
ISWN,1,1818,12,18.8303
ISZE,1,582,11,25.3034
IT,1,469046,15611,456.18
ITA,1,447238,7128,124.45
ITAN,1,1444,6,27.1626
ITB,1,1296228,18665,103.1
ITCI,1,989891,15966,71.6
ITDA,1,207,9,27.1037
ITDB,1,2195,36,27.3784
ITDC,1,1296,18,27.5121
ITDD,1,795,24,27.649
ITDE,1,3284,33,27.8139
ITDF,1,741,32,27.8892
ITDG,1,3248,34,27.9016
ITDH,1,129,10,27.9016
ITDI,1,2851,24,27.9017
ITEQ,1,8395,86,47.09
ITGR,1,179557,5348,105.57
ITI,1,319680,1915,5.34
ITIC,1,2518,132,165.39
ITM,1,492390,1628,46.44
ITOS,1,266143,2269,10.64
ITOT,1,1375293,10247,109.65
ITP,1,243430,491,0.215
ITRG,1,76086,437,0.8057
ITRI,1,209661,4060,75.43
ITRM,1,298708,1458,1.59
ITRN,1,57170,979,25.59
ITT,1,1133789,21865,119.84
ITUB,1,24664360,43280,6.78
ITW,1,709686,21201,254.51
IUS,1,39180,293,44.73
IUSB,1,2035783,5536,45.44
IUSG,1,287892,2140,112.45
IUSV,1,546010,2034,85.02
IVA,1,2370,26,3.59
IVAC,1,58888,925,4.0
IVAL,1,19547,137,25.445
IVCB,1,1355,141,11.09
IVDA,1,46975,150,0.5963
IVE,1,474524,6417,175.63
IVEG,1,909,13,18.651
IVES,1,3007,76,43.9141
IVLU,1,310714,985,26.14
IVOG,1,17568,249,101.49
IVOL,1,122470,632,20.0
IVOO,1,46077,514,94.21
IVOV,1,15938,293,84.65
IVP,1,1223852,1817,0.1308
IVR,1,1127554,9050,8.39
IVRA,1,1968,16,13.3815
IVRS,1,211,11,33.1632
IVRpB,1,13068,147,23.25
IVRpC,1,14241,175,22.5773
IVT,1,254832,3456,25.32
IVV,1,4038804,44779,500.75
IVVB,1,34989,97,26.885
IVVD,1,644573,6330,5.04
IVVM,1,1453,12,27.3117
IVW,1,4968698,17095,81.27
IVZ,1,3146271,26313,15.91
IWB,1,1904807,6562,274.29
IWC,1,14345,275,113.07
IWD,1,1409554,11538,166.88
IWDL,1,2,2,32.2371
IWF,1,2242753,22981,326.16
IWFG,1,37,6,39.7749
IWFH,1,958,10,15.1701
IWFL,1,1,1,34.1772
IWIN,1,2143,7,26.0459
IWL,1,32639,339,121.72
IWLG,1,4,4,40.045
IWM,1,34992964,238134,196.15
IWML,1,205,15,17.6163
IWMY,1,170311,1723,18.31
IWN,1,810238,10274,148.56
IWO,1,343387,5576,252.05
IWP,1,1127043,9230,108.82
IWR,1,1050471,6321,78.43
IWS,1,248945,2904,115.83
IWTR,1,205,4,29.0262
IWV,1,72612,1173,285.18
IWX,1,129795,387,71.46
IWY,1,254342,2757,189.46
IX,1,19746,545,100.73
IXC,1,468954,5070,38.89
IXG,1,5076,79,79.4478
IXHL,1,13997,320,3.04
IXJ,1,133517,1568,90.1
IXN,1,142499,1462,72.82
IXP,1,14020,118,81.26
IXUS,1,1715604,4828,64.25
IYC,1,60076,612,78.13
IYE,1,943512,6989,44.19
IYF,1,97973,1240,87.42
IYG,1,11939,366,183.6816
IYH,1,42161,700,302.12
IYJ,1,34954,422,117.36
IYK,1,49322,704,194.47
IYLD,1,8417,70,19.619
IYM,1,15809,320,132.46
IYR,1,4579893,49793,87.1
IYT,1,189587,3175,273.01
IYW,1,471181,5850,132.46
IYY,1,18025,313,121.74
IYZ,1,752624,3560,22.23
IZEA,1,44637,201,1.94
IZM,1,223294,1460,9.19
IZRL,1,13742,152,19.99
J,1,691933,16336,143.17
JAAA,1,1683873,4387,50.52
JACK,1,198116,7058,77.08
JAGX,1,10788664,7014,0.0887
JAKK,1,54036,2065,32.83
JAMF,1,264140,5150,19.46
JAN,1,76837,190,0.61
JAND,1,6332,3,25.0732
JANH,1,4337,14,24.97
JANJ,1,35703,136,24.8704
JANP,1,0,0,25.7158
JANQ,1,2054,35,24.745
JANT,1,14326,96,32.0003
JANW,1,43335,215,30.8435
JANX,1,84133,678,9.2
JANZ,1,1175,14,30.9081
JAVA,1,235674,721,56.07
JAZZ,1,359463,10406,122.67
JBBB,1,73358,425,48.17
JBGS,1,1285459,15783,16.85
JBHT,1,738043,16366,213.38
JBI,1,1555932,15090,14.96
JBL,1,1179627,19547,135.93
JBLU,1,18099959,47097,5.8
JBND,1,39562,225,52.35
JBSS,1,54169,2988,99.26
JBT,1,105256,4051,101.76
JCE,1,21990,122,13.72
JCHI,1,11,5,36.7553
JCI,1,5196063,60488,55.11
JCPB,1,1117067,1645,46.43
JCPI,1,3853,35,46.31
JCSE,1,15864,72,0.682001
JCTCF,1,1007,32,5.48
JCTR,1,10,5,67.8505
JD,1,11161839,72191,22.05
JDOC,1,16,4,56.3159
JDST,1,5588272,6586,7.05
JDVI,1,45,3,24.6394
JEF,1,717345,11015,40.31
JELD,1,341426,4777,19.28
JEMA,1,44752,186,35.45
JEPI,1,3360909,33260,56.13
JEPQ,1,2274473,16616,52.3
JEPY,1,145124,1474,17.87
JEQ,1,12930,83,5.985
JETD,1,473,8,25.3892
JETS,1,4535135,13931,19.63
JETU,1,163,5,19.2476
JEWL,1,19860,133,0.4735
JFBR,1,1586,37,2.715
JFIN,1,20359,281,5.12
JFR,1,393987,1208,8.54
JFU,1,2453,58,2.68
JFWD,1,195,9,10.2865
JG,1,7471,89,3.5329
JGH,1,62402,378,12.73
JGLO,1,52678,17,54.837
JGRO,1,135932,551,67.13
JHAC,1,192,6,12.3087
JHCB,1,31706,71,21.13
JHDV,1,4,4,31.1898
JHEM,1,16230,52,25.0652
JHG,1,1014403,13529,30.57
JHI,1,4911,41,13.25
JHID,1,228,6,27.8483
JHMB,1,8066,103,21.58
JHMD,1,115274,224,32.22
JHML,1,45125,179,60.92
JHMM,1,223406,1122,52.89
JHMU,1,43,5,26.9051
JHPI,1,9340,35,22.0082
JHS,1,10895,102,11.1
JHSC,1,91231,331,36.11
JHX,1,28087,620,38.65
JIB,1,6,6,41.6686
JIG,1,5698,48,59.6907
JILL,1,33258,1189,25.11
JIRE,1,102208,477,58.62
JIVE,1,7,4,50.27
JJSF,1,202415,5753,146.02
JKHY,1,618871,20221,174.05
JKS,1,730115,8803,25.4
JL,1,94667,1666,14.57
JLL,1,320861,7755,179.42
JLS,1,27725,200,16.81
JMBS,1,472327,2198,45.12
JMEE,1,58966,708,53.8
JMHI,1,6291,47,49.3698
JMIA,1,987100,5113,3.2
JMM,1,11831,63,6.03
JMOM,1,22852,175,49.25
JMSB,1,12216,206,17.26
JMSI,1,18860,162,50.31
JMST,1,293300,846,50.7
JMUB,1,190608,915,50.69
JNJ,1,9221154,119327,156.4
JNK,1,5003159,22948,94.54
JNPR,1,2002106,17279,36.95
JNUG,1,1017284,7135,25.4
JNVR,1,25549,111,1.25
JOAN,1,59812,355,0.5201
JOB,1,228547,824,0.4275
JOBY,1,3807381,24911,5.78
JOBY.WS,1,18634,36,0.976
JOE,1,216978,4258,54.81
JOET,1,17720,128,32.2993
JOF,1,14214,61,7.68
JOJO,1,121,12,14.73
JOUT,1,41154,1482,45.6
JPAN,1,465,5,27.2999
JPC,1,1397703,4403,7.08
JPEF,1,16704,168,56.32
JPEM,1,90506,407,52.93
JPI,1,32110,172,18.64
JPIB,1,37932,157,47.43
JPIE,1,94890,599,45.55
JPIN,1,25298,202,53.39
JPLD,1,22232,127,50.7099
JPM,1,5857963,87419,174.8
JPMB,1,2837,66,38.93
JPME,1,7916,149,91.332
JPMO,1,10146,127,20.1926
JPMpC,1,72481,600,25.15
JPMpD,1,92250,590,24.82
JPMpJ,1,40211,414,22.63
JPMpK,1,96007,461,21.15
JPMpL,1,121832,711,21.48
JPMpM,1,192521,661,19.82
JPRE,1,6627,60,43.3861
JPSE,1,33132,209,42.51
JPST,1,3234564,5874,50.31
JPSV,1,410,10,52.6445
JPUS,1,4961,75,103.6735
JPXN,1,8047,151,69.7779
JQC,1,746606,1645,5.37
JQUA,1,464009,1789,50.71
JRE,1,2279,25,21.8442
JRI,1,40570,215,11.5
JRNY,1,267,8,24.8168
JRS,1,80024,312,7.52
JRSH,1,12860,88,3.11
JRVR,1,398637,5128,9.0
JSCP,1,42823,222,46.3568
JSI,1,137185,81,51.36
JSM,1,2947,56,21.0
JSMD,1,5851,77,65.89
JSML,1,15639,130,57.7
JSPR,1,139924,1693,17.36
JSPRW,1,45126,33,0.203
JSTC,1,36543,150,17.1
JT,1,49181,281,0.72525
JTAI,1,189382,977,0.7603
JTAIW,1,6004,14,0.0335
JTAIZ,1,212,3,0.68
JTEK,1,36757,353,65.18
JUCY,1,313366,102,23.57
JULD,1,130,3,25.265
JULH,1,4924,14,25.185
JULJ,1,136,3,25.11
JULQ,1,1310,7,25.03
JULT,1,12321,61,34.728
JULW,1,28599,92,31.9702
JULZ,1,80,1,37.5284
JUNT,1,7367,30,28.6371
JUNW,1,2363,11,27.485
JUNZ,1,0,0,27.1745
JUST,1,5579,115,71.2639
JVA,1,9925,107,1.06
JVAL,1,41502,453,39.12
JVSAU,1,7140,23,10.18
JWEL,1,2989,30,2.09
JWN,1,2579839,26138,19.08
JWSM,1,9431,15,10.915
JWSM.WS,1,74302,51,0.07
JXI,1,18261,131,54.5877
JXJT,1,4491,46,1.1803
JXN,1,649962,12231,51.97
JXNpA,1,22480,237,26.49
JYD,1,31653,148,0.890101
JYNT,1,34370,819,9.8
JZ,1,23536,155,0.7
JZXN,1,28863,177,0.75
K,1,6505243,64638,54.94
KA,1,10976,126,2.42
KAI,1,73255,3062,300.06
KALA,1,3865,107,6.94
KALL,1,531,22,17.0303
KALU,1,63033,2559,64.85
KALV,1,440214,7761,14.9
KAMN,1,168809,3378,45.29
KAPR,1,3752,37,28.78
KAR,1,620315,7288,14.36
KARB,1,513,7,27.25
KARO,1,8375,167,24.3
KARS,1,32971,224,21.47
KAVL,1,29092,2517,2.7
KB,1,272351,4138,50.54
KBA,1,487478,566,20.0
KBE,1,1435370,15855,43.15
KBH,1,835854,15412,60.66
KBND,1,1,1,30.985
KBR,1,811624,14371,53.65
KBUF,1,1615,7,24.7449
KBUY,1,0,0,13.9064
KBWB,1,1966371,9973,48.02
KBWD,1,97353,1186,14.68
KBWP,1,20904,437,98.03
KBWR,1,6928,62,48.41
KBWY,1,82747,748,17.86
KC,1,490209,4972,2.63
KCAL,1,200,1,21.1504
KCCA,1,6692,92,31.05
KCE,1,11965,211,101.431
KCGI.WS,1,3272,11,0.056
KD,1,2894569,26902,21.35
KDIV,1,1,1,25.895
KDP,1,6552907,40048,31.49
KDRN,1,0,0,22.7701
KE,1,159992,4568,20.75
KELYA,1,144695,2434,21.29
KELYB,1,200,7,20.85
KEM,1,9,9,23.7897
KEMQ,1,901,17,13.7253
KEMX,1,2636,46,28.3103
KEN,1,4574,183,23.68
KEP,1,67285,516,7.68
KEQU,1,1885,72,28.7062
KERN,1,1415914,35177,0.3136
KERNW,1,130276,129,0.016554
KEUA,1,30654,276,20.645
KEX,1,354180,8288,84.5
KEY,1,11457781,46493,13.87
KEYS,1,919107,21415,161.18
KEYpI,1,84439,1118,22.13
KEYpJ,1,61986,719,20.07
KEYpK,1,68429,752,20.97
KEYpL,1,55419,722,21.41
KF,1,4055,48,22.63
KFFB,1,3100,25,3.9
KFRC,1,151222,4900,68.12
KFS,1,9597,101,8.85
KFVG,1,2064,23,12.8097
KFY,1,252995,5724,59.0
KGC,1,8268751,19891,5.32
KGEI,1,1769,18,3.05
KGRN,1,5643,128,19.1423
KGRO,1,521,5,11.6149
KGS,1,384215,4225,23.99
KHC,1,10634864,71471,36.47
KHYB,1,7567,27,24.495
KIDS,1,106709,2280,28.36
KIE,1,1212064,8747,47.41
KIM,1,7269166,45603,20.02
KIMpL,1,10613,183,23.26
KIMpM,1,9293,116,23.47
KIMpN,1,1274,28,57.0
KIND,1,731492,4366,1.67
KINS,1,18326,161,3.37
KIO,1,99407,451,12.89
KIQ,1,60792,190,0.1515
KIRK,1,119255,962,2.8
KITT,1,326066,619,0.347
KJAN,1,124794,395,33.97
KJUL,1,8409,62,26.774
KKR,1,6705220,68900,96.55
KKRS,1,15644,126,19.73
KLAC,1,726786,24954,618.49
KLDW,1,2214,11,42.2176
KLG,1,1195177,12942,12.45
KLIC,1,472375,10239,47.55
KLIP,1,60285,1166,14.65
KLNE,1,2911,80,7.22
KLTR,1,64351,345,1.62
KLXE,1,91925,1436,8.95
KLXY,1,785,8,25.8387
KMB,1,1939111,32382,120.27
KMDA,1,18853,138,5.98
KMET,1,205,16,12.43
KMI,1,16880022,44797,16.63
KMLM,1,38331,338,29.07
KMPB,1,24130,264,22.09
KMPR,1,432041,9676,58.08
KMT,1,859180,11789,23.79
KMX,1,1445803,23300,73.3
KN,1,1201779,15581,15.91
KNCT,1,1534,22,92.3026
KNDI,1,72387,595,2.71
KNF,1,293106,6861,68.14
KNG,1,415605,2299,51.23
KNGS,1,611,19,27.0712
KNGZ,1,3227,31,29.51
KNOP,1,45529,444,5.75
KNSA,1,259150,5109,19.02
KNSL,1,136496,5775,409.42
KNTE,1,32948,449,2.31
KNTK,1,289443,4295,32.57
KNW,1,61907,181,0.48
KNX,1,1979711,28064,59.93
KO,1,12228211,129024,59.83
KOCG,1,5,2,24.345
KOCT,1,3990,37,27.37
KOD,1,939575,8140,5.27
KODK,1,515785,3291,3.48
KOF,1,84305,2738,97.72
KOIN,1,543,17,30.5812
KOKU,1,151,5,88.2566
KOLD,1,780085,14558,133.44
KOMP,1,83454,570,44.88
KONG,1,1388,6,26.2396
KOP,1,77745,2267,50.95
KOPN,1,3270313,16307,2.22
KORE,1,163136,1096,0.9
KORP,1,35238,319,46.075
KORU,1,361139,1885,8.18
KOS,1,3595738,16517,5.77
KOSS,1,7202,164,2.75
KPLT,1,4281,184,12.78
KPLTW,1,12254,10,0.0094
KPOP,1,58,14,16.8521
KPRO,1,1225,4,24.785
KPRX,1,979795,2206,0.6666
KPTI,1,2586292,7224,1.51
KR,1,6055391,47070,45.44
KRBN,1,89386,1344,30.71
KRC,1,958105,13394,34.97
KRE,1,12579810,86499,47.04
KREF,1,2463913,17135,9.7
KREFpA,1,56868,595,18.18
KRG,1,1753037,14904,21.64
KRKR,1,2803,23,0.49595
KRMA,1,2606,46,34.54
KRMD,1,61286,1017,2.11
KRNL,1,117,4,10.74
KRNT,1,129108,2812,17.65
KRNY,1,1130449,10580,6.44
KRO,1,107801,2297,8.85
KRON,1,177077,699,1.07
KROP,1,1342,17,10.43
KROS,1,319527,6922,51.3
KRP,1,341576,2912,15.27
KRRO,1,5834,799,58.72
KRT,1,86423,1426,25.98
KRTX,1,502263,8820,316.12
KRUS,1,72237,2075,102.62
KRUZ,1,5019,146,28.1799
KRYS,1,268220,7833,111.03
KSA,1,750148,8361,43.11
KSCP,1,635231,1630,0.5229
KSEA,1,32,3,25.3002
KSET,1,2798,18,1.1446
KSM,1,32510,129,8.79
KSPI,1,194724,3002,87.64
KSS,1,4217996,38313,26.92
KSTR,1,3956,36,10.6651
KT,1,636425,5572,13.96
KTB,1,536372,10095,61.82
KTCC,1,23665,149,4.67
KTEC,1,16642,114,9.64
KTF,1,121819,587,9.02
KTH,1,8781,69,28.4294
KTN,1,2807,31,26.67
KTOS,1,651847,8104,17.74
KTRA,1,2775339,3346,0.122
KTTA,1,4475,83,5.82
KUKE,1,11162,110,1.72
KULR,1,5695291,6283,0.1178
KURA,1,1401528,10512,20.33
KURE,1,3427,42,14.85
KVAC,1,385224,153,10.37
KVACU,1,100,1,10.42
KVHI,1,57172,801,4.91
KVLE,1,2417,42,22.6607
KVUE,1,44018673,166958,19.33
KVYO,1,861015,11676,28.2
KW,1,885203,9763,9.82
KWE,1,93856,390,1.4
KWEB,1,28241786,66608,23.96
KWR,1,94753,3757,190.46
KWT,1,1262,18,33.0709
KXI,1,32120,547,59.8428
KXIN,1,3100046,3292,0.254
KYCH,1,81127,28,10.94
KYCHR,1,7528,4,0.135
KYMR,1,572132,9809,33.98
KYN,1,409864,1179,8.66
KYTX,1,6020904,31257,30.0
KZIA,1,199575,417,0.2843
KZR,1,519504,1711,0.9473
L,1,1039067,17135,72.02
LAAC,1,1196908,8301,4.12
LAB,1,639437,5997,2.36
LABD,1,10805983,25989,9.47
LABP,1,1931,60,5.18
LABU,1,2847702,31984,117.15
LAC,1,1634032,8868,4.12
LAD,1,211196,8066,292.92
LADR,1,1207809,7919,10.67
LAES,1,5076908,15687,2.79
LAKE,1,7175,316,17.79
LALT,1,3455,21,20.2295
LAMR,1,346856,8254,105.67
LANC,1,102232,4981,188.16
LAND,1,199285,2909,13.51
LANDM,1,3916,53,23.695
LANDO,1,8865,90,20.55
LANDP,1,23934,92,19.57
LANV,1,852,21,2.0697
LARK,1,3914,76,19.87
LASE,1,52579,201,1.04
LASR,1,100206,2258,13.47
LAUR,1,651553,5550,13.02
LAW,1,227037,3133,7.93
LAZ,1,842590,10882,39.05
LAZR,1,4107765,18032,2.9
LBAI,1,233419,5160,11.81
LBAY,1,11916,37,25.313
LBBB,1,46565,74,11.13
LBBBR,1,5596,53,0.1501
LBC,1,14989,205,9.29
LBO,1,19,1,27.6728
LBPH,1,555959,8698,19.32
LBRDA,1,182577,4161,59.84
LBRDK,1,1646002,22676,59.88
LBRDP,1,14234,129,22.2468
LBRT,1,2039268,21543,19.31
LBTYA,1,1433712,11528,19.06
LBTYB,1,1197,16,20.1
LBTYK,1,1499118,14625,20.15
LC,1,1121759,8447,8.59
LCAA,1,12473,194,9.09
LCAAW,1,4548,19,0.65
LCF,1,1729,15,31.58
LCFY,1,5161,34,6.41
LCG,1,37304,130,30.2876
LCID,1,21997801,55561,3.51
LCII,1,145447,4659,112.77
LCLG,1,145,5,42.3244
LCNB,1,26736,536,14.01
LCR,1,11682,32,32.6967
LCTD,1,11950,154,43.4154
LCTU,1,26454,148,54.82
LCTX,1,538083,1909,1.08
LCUT,1,30328,552,8.58
LCW,1,408,6,10.92
LCW.U,1,2200,37,10.98
LDEM,1,1187,24,42.4953
LDI,1,210744,1237,2.56
LDOS,1,747542,15846,113.27
LDP,1,127536,537,19.24
LDSF,1,25698,97,18.79
LDTC,1,17153,176,3.71
LDTCW,1,6517,23,0.1
LDUR,1,34717,268,94.81
LDWY,1,10716,108,4.29
LE,1,43736,1011,8.75
LEA,1,502255,12681,133.31
LEAD,1,838,87,62.9029
LECO,1,219443,7261,230.1
LEDS,1,13523,77,1.27
