ticker,n_days,total_volume,total_trades,last_close
A,1,1308897,24391,134.07
AA,1,4825422,45891,27.71
AAA,1,6593,44,25.09
AAAU,1,1445875,1645,20.13
AACG,1,15145,162,1.18
AACI,1,31351,103,10.94
AACIW,1,3999,6,0.025
AACT,1,315230,169,10.51
AACT.WS,1,44812,1,0.18
AADI,1,196146,1921,1.77
AADR,1,1444,26,56.1
AAGR,1,44347,332,0.92
AAGRW,1,18098,39,0.0232
AAL,1,27998162,75511,14.95
AAMC,1,1659,57,4.5
AAME,1,7646,82,2.51
AAN,1,326024,4393,10.45
AAOI,1,3351110,22967,18.89
AAON,1,782372,14849,78.67
AAP,1,1172318,21158,64.14
AAPB,1,31561,380,21.64
AAPD,1,120064,811,20.72
AAPL,1,38219218,521417,188.32
AAPU,1,118360,1054,26.24
AAPX,1,5379,93,25.28
AAPY,1,30,22,25.9761
AAT,1,234290,4312,22.18
AAU,1,135339,154,0.135
AAXJ,1,673723,4230,64.8
AB,1,426301,5771,32.9
ABAT,1,711475,6904,2.36
ABBV,1,5246598,76358,174.79
ABCB,1,326657,6487,47.32
ABCL,1,892750,7573,5.02
ABCS,1,296,37,25.0697
ABEO,1,377279,2405,5.28
ABEQ,1,2984,14,28.5715
ABEV,1,8647503,12992,2.56
ABG,1,335233,9138,206.79
ABIO,1,51005,258,1.65
ABL,1,55787,859,12.35
ABLLL,1,4073,23,25.548
ABLLW,1,204966,265,0.79
ABLV,1,57836,204,2.8
ABM,1,736351,8236,40.38
ABNB,1,3493147,60753,150.54
ABOS,1,384100,3569,3.02
ABR,1,5200815,33895,12.12
ABRpD,1,12298,115,17.4
ABRpE,1,7834,91,17.57
ABRpF,1,31650,318,18.08
ABSI,1,789251,5665,4.11
ABT,1,6462513,69262,112.43
ABTS,1,58434,132,0.9701
ABUS,1,4323042,11935,2.54
ABVC,1,311695,1854,1.3
ABVX,1,57327,614,12.77
AC,1,6463,161,32.76
ACA,1,145360,3716,82.57
ACAC,1,8142,62,11.11
ACAD,1,999941,14943,25.68
ACAH,1,201,3,10.6728
ACB,1,8565505,11064,0.408
ACCD,1,357114,6409,13.31
ACCO,1,297045,2894,6.32
ACDC,1,675754,7803,7.33
ACEL,1,267587,2391,10.21
ACES,1,28039,298,30.4241
ACET,1,1654579,7153,3.38
ACGL,1,1861764,31203,82.76
ACGLN,1,21807,281,20.49
ACGLO,1,11975,220,23.56
ACHC,1,359693,8997,80.23
ACHL,1,567490,598,0.94
ACHR,1,3605970,18142,5.18
ACHR.WS,1,11761,49,0.94
ACHV,1,13024,193,4.37
ACI,1,3667734,18726,21.35
ACIC,1,279645,4782,11.4
ACIO,1,66598,176,34.58
ACIU,1,217527,1051,2.83
ACIW,1,976012,11116,29.73
ACLS,1,2532829,47213,122.25
ACLX,1,428315,9476,61.56
ACM,1,914490,18013,88.49
ACMR,1,1070997,14206,16.97
ACN,1,1638768,39515,368.48
ACNB,1,11728,352,36.06
ACNT,1,2997,65,9.66
ACON,1,100158,571,1.92
ACONW,1,3300,5,0.0497
ACP,1,303638,1216,6.73
ACPpA,1,233,5,22.7
ACR,1,11691,142,9.86
ACRE,1,1003660,6893,8.66
ACRS,1,1107951,3814,1.18
ACRV,1,287625,1232,3.54
ACRpC,1,5484,50,23.805
ACRpD,1,1987,46,21.45
ACSI,1,1120,40,50.01
ACST,1,6015,108,2.45
ACT,1,494248,8789,26.79
ACTG,1,416785,2811,4.26
ACTV,1,6481,53,32.8282
ACU,1,9450,766,49.09
ACV,1,38609,351,22.9
ACVA,1,576518,9648,14.39
ACVF,1,2682,51,38.27
ACWI,1,4332611,22931,104.45
ACWV,1,98979,990,101.74
ACWX,1,906047,4105,50.48
ACXP,1,67477,370,3.07
ADAG,1,43172,390,3.5
ADAP,1,1580999,3053,1.15
ADBE,1,1602516,58769,615.86
ADC,1,701446,12507,57.97
ADCT,1,1001416,3584,3.93
ADCpA,1,17267,110,18.56
ADD,1,142457,303,0.2784
ADEA,1,482608,7292,12.95
ADFI,1,15564,30,8.52
ADI,1,2569588,48303,194.06
ADIL,1,12757,63,1.1779
ADIV,1,558,9,13.7961
ADM,1,3437617,37714,52.7
ADMA,1,974056,7090,5.17
ADME,1,27955,63,40.2053
ADN,1,425750,1891,0.1653
ADNT,1,2066884,21605,33.62
ADNWW,1,7299,19,0.024
ADOC,1,9218,38,11.7801
ADOCR,1,1372283,768,0.205
ADOCW,1,235032,77,0.0389
ADP,1,1076852,29890,251.08
ADPT,1,1226414,9581,3.67
ADPV,1,1940,14,26.3087
ADRT,1,2753,12,11.56
ADSE,1,89095,436,8.93
ADSEW,1,14916,54,0.9395
ADSK,1,744944,22247,261.51
ADT,1,1529700,10966,6.64
ADTH,1,121373,1476,2.66
ADTN,1,740827,8539,6.4
ADTX,1,71959,513,3.84
ADUS,1,209051,3962,90.91
ADV,1,506396,5525,3.89
ADVE,1,2077,23,31.3735
ADVM,1,15184093,43010,1.97
ADX,1,165012,708,18.8
ADXN,1,1553,34,9.88
AE,1,19523,206,24.25
AEE,1,1641470,22611,67.92
AEF,1,43824,156,4.97
AEFC,1,39054,292,22.32
AEG,1,879216,2786,5.79
AEHL,1,91783,359,1.44
AEHR,1,2196810,25122,16.83
AEI,1,4528,74,1.2499
AEIS,1,343067,9314,100.88
AEL,1,265104,3851,55.35
AELpA,1,40378,211,23.4
AELpB,1,5900,80,25.08
AEM,1,2590516,28902,47.17
AEMB,1,98,4,37.5907
AEMD,1,5913,80,1.74
AENT,1,122062,324,1.67
AEO,1,2505694,22706,21.62
AEON,1,16323,934,9.0
AEON.WS,1,16098,5,0.1429
AEP,1,3255024,39434,75.94
AER,1,1022507,16688,77.31
AERT,1,25118,181,2.5
AES,1,6336144,36603,16.2
AESC,1,54350,173,64.58
AESI,1,276801,5496,17.28
AESR,1,25594,66,14.68
AETH,1,3334,68,33.3856
AEVA,1,603691,2696,0.8791
AEY,1,1313006,5305,0.709
AEYE,1,27621,321,5.11
AEZS,1,10428,121,1.695
AFB,1,81634,381,10.8344
AFBI,1,5326,100,16.94
AFCG,1,67546,1224,11.33
AFG,1,646162,12278,120.63
AFGB,1,3926,110,24.15
AFGC,1,8000,133,21.78
AFGD,1,10755,156,23.54
AFGE,1,9807,141,19.29
AFIB,1,422978,1019,0.1923
AFIF,1,33054,49,9.13
AFJK,1,8412,62,10.17
AFJKU,1,1189,9,10.3401
AFK,1,2706,102,13.29
AFL,1,1767104,31012,78.11
AFLG,1,3630,27,28.7221
AFMC,1,89,3,27.2117
AFMD,1,379476,787,0.5303
AFRI,1,31558,356,10.56
AFRIW,1,16264,68,1.4
AFRM,1,33165327,271248,49.22
AFSM,1,0,0,27.2688
AFT,1,105048,396,13.76
AFTY,1,291,12,13.3101
AFYA,1,94919,2001,20.39
AG,1,3841609,9554,4.65
AGAE,1,10123,78,1.21
AGBA,1,149179,311,0.3643
AGBAW,1,941,4,0.0076
AGCO,1,846365,16870,117.42
AGD,1,37455,205,9.4
AGE,1,15136,65,0.3612
AGEN,1,6812588,10619,0.6973
AGFY,1,851835,3819,0.7139
AGG,1,12446860,28663,97.66
AGGH,1,102718,348,21.605
AGGY,1,75279,392,43.36
AGI,1,2201608,13549,12.1
AGIH,1,0,0,24.35
AGIO,1,519258,9074,24.18
AGL,1,7366223,39892,7.09
AGM,1,53603,2597,181.58
AGM.A,1,818,30,146.22
AGMH,1,359,21,1.73
AGMpC,1,3705,34,25.06
AGMpD,1,2013,15,24.65
AGMpE,1,1750,10,23.9999
AGMpF,1,10627,277,22.05
AGNC,1,11633747,42680,9.35
AGNCL,1,17222,267,23.0
AGNCM,1,19511,211,24.45
AGNCN,1,14916,157,25.72
AGNCO,1,20859,201,24.33
AGNCP,1,29580,274,23.21
AGNG,1,3756,44,28.67
AGO,1,199148,5842,82.1
AGOX,1,39357,201,24.59
AGQ,1,1360622,4766,24.08
AGQI,1,12182,114,13.461
AGR,1,496773,8298,30.02
AGRH,1,34,2,25.83
AGRI,1,1872394,2506,0.239
AGRIW,1,119194,56,0.0107
AGRO,1,804180,7762,9.78
AGRX,1,176080,727,1.2
AGS,1,400362,4228,8.92
AGTI,1,150537,2362,6.93
AGX,1,45804,1364,45.84
AGYS,1,126292,4329,88.44
AGZ,1,44314,365,107.89
AGZD,1,21064,137,21.9739
AHCO,1,1056930,10535,7.11
AHG,1,30321,284,1.64
AHH,1,235744,2794,11.81
AHHpA,1,1289,15,22.99
AHLT,1,2012,9,22.88
AHLpC,1,11325,110,25.88
AHLpD,1,8034,92,21.2
AHLpE,1,6961,119,20.61
AHOY,1,57,3,22.45
AHR,1,1630336,6247,13.06
AHT,1,281050,1550,1.51
AHTpD,1,1827,18,13.8
AHTpF,1,1165,19,12.5
AHTpG,1,183,5,16.41
AHTpH,1,202,4,12.4
AHTpI,1,4857,53,11.85
AHYB,1,4517,29,45.3497
AI,1,7597202,64274,26.84
AIA,1,60697,675,56.56
AIDB,1,14,4,28.5519
AIEQ,1,15603,207,35.3463
AIF,1,105196,512,14.39
AIG,1,5004756,48589,68.41
AIGpA,1,30451,241,25.25
AIH,1,17417,68,0.495
AIHS,1,8234,66,0.61
AIM,1,1043519,1994,0.38
AIMAU,1,400,10,11.18
AIMAW,1,25000,2,0.0126
AIMD,1,34067,248,0.9115
AIN,1,95854,3031,89.02
AINC,1,779,31,2.33
AIO,1,127706,916,19.79
AIP,1,165462,2545,6.82
AIQ,1,372612,2831,32.5
AIR,1,110888,3465,61.35
AIRC,1,1112952,15492,32.26
AIRE,1,1801234,6391,1.37
AIRG,1,19589,292,4.17
AIRI,1,7690,122,4.25
AIRL,1,428,5,25.603
AIRR,1,50363,553,58.74
AIRS,1,59671,923,6.89
AIRT,1,1061,35,17.22
AIRTP,1,1396,14,19.0
AISP,1,213508,1199,1.4
AISPW,1,34528,26,0.0494
AIT,1,288475,5275,184.55
AITR,1,12486,33,10.22
AIU,1,823,31,1.005
AIV,1,973419,5747,7.51
AIVI,1,2367,25,39.5102
AIVL,1,6723,48,95.504
AIXI,1,145399,662,2.15
AIYY,1,49605,569,17.0515
AIZ,1,422921,12638,174.57
AIZN,1,21241,139,20.59
AJAN,1,37500,83,24.63
AJG,1,712761,18310,237.03
AJX,1,370572,3424,4.5
AJXA,1,17653,101,24.9
AKA,1,5644,100,10.0801
AKAM,1,1548480,28444,126.78
AKAN,1,1074097,1946,0.36
AKBA,1,1438647,5074,1.63
AKLI,1,15204,76,0.2398
AKO.A,1,626,19,12.0
AKO.B,1,5371,88,15.0
AKR,1,591735,6737,17.17
AKRO,1,1061105,12367,18.6
AKTS,1,1571225,5210,0.6583
AKTX,1,845,22,2.45
AKYA,1,223847,2848,5.93
AL,1,1123977,11233,41.85
ALAR,1,160522,1454,12.92
ALB,1,2381113,43409,114.33
ALBT,1,7630,99,0.403
ALC,1,1018013,13940,77.17
ALCC,1,44835,248,10.61
ALCE,1,37225,171,0.9716
ALCO,1,43414,768,28.91
ALCY,1,633151,115,10.54
ALCYW,1,25000,3,0.15
ALDX,1,282409,2621,3.23
ALE,1,581766,5345,57.75
ALEC,1,581790,6964,6.25
ALEX,1,325732,3803,17.21
ALG,1,65980,2360,216.01
ALGM,1,1341656,20249,30.69
ALGN,1,1125623,25455,295.0
ALGS,1,166952,274,0.677
ALGT,1,173441,5626,77.94
ALHC,1,1057525,6901,6.67
ALIM,1,41975,617,3.89
ALIT,1,8203251,38590,9.23
ALK,1,2112795,21578,36.51
ALKS,1,1045054,12078,26.77
ALKT,1,417536,6286,25.31
ALL,1,3681102,55414,161.75
ALLE,1,747928,17934,130.52
ALLG,1,43572,312,1.03
ALLK,1,745408,4320,1.27
ALLO,1,2717613,18276,4.37
ALLR,1,88309,278,0.4393
ALLT,1,10066,140,1.87
ALLY,1,3030973,31147,36.19
ALLpB,1,24131,184,25.81
ALLpH,1,83705,575,23.54
ALLpI,1,6984,113,23.04
ALLpJ,1,53051,372,27.1
ALNT,1,118061,683,28.25
ALNY,1,1605073,15944,169.5
ALOT,1,3420,59,17.49
ALPN,1,1636785,11044,28.41
ALPP,1,34979,234,0.536
ALRM,1,179303,3632,64.58
ALRN,1,34893,252,4.78
ALRS,1,36515,2266,22.24
ALSAR,1,2762,24,0.1001
ALSN,1,435217,9448,61.67
ALT,1,4217864,28467,9.69
ALTG,1,1886854,8566,11.74
ALTGpA,1,508,8,25.67
ALTI,1,44007,409,5.7
ALTL,1,189239,267,33.51
ALTM,1,9692840,32775,4.6
ALTO,1,398898,3984,1.85
ALTR,1,352111,7319,90.11
ALTY,1,11281,67,11.24
ALUM,1,4,4,28.73
ALUR,1,3914,83,2.96
ALV,1,546087,11075,109.5
ALVO,1,139555,1141,15.49
ALVR,1,1142647,3232,0.6726
ALX,1,6541,668,216.82
ALXO,1,421955,5561,13.82
ALYA,1,41445,224,1.13
ALZN,1,15444,159,0.94
ALpA,1,11285,109,25.16
AM,1,2414658,17728,11.92
AMAL,1,158213,2956,24.15
AMAM,1,846958,4767,27.79
AMAT,1,6665653,96576,173.89
AMAX,1,7147,55,7.8054
AMBA,1,1024964,8899,54.65
AMBC,1,221912,4450,15.58
AMBI,1,3054,22,6.0
AMBO,1,57424,91,0.1349
AMBP,1,631515,4753,3.66
AMBP.WS,1,1000,2,0.080201
AMC,1,10754744,40578,4.09
AMCR,1,12782179,51608,9.16
AMCX,1,431285,8465,17.04
AMD,1,43252086,403859,169.35
AMDS,1,34270,78,13.1
AMDY,1,152794,1691,20.78
AME,1,950037,22950,166.3
AMED,1,189221,3508,93.91
AMEH,1,99111,2891,36.71
AMG,1,392053,6986,154.3
AMGN,1,5609951,97761,294.85
AMH,1,1763611,19588,35.02
AMHpG,1,6303,51,23.81
AMHpH,1,9219,149,24.635
AMID,1,1457,14,31.45
AMIX,1,30975,261,5.25
AMJ,1,201585,1112,26.33
AMJB,1,131,1,26.3282
AMK,1,195381,2596,31.31
AMKR,1,1447257,20789,30.17
AMLI,1,417529,758,0.7151
AMLP,1,1876564,12755,43.42
AMLX,1,541028,8125,15.46
AMN,1,489251,8521,74.96
AMNA,1,2,2,38.0788
AMNB,1,13444,347,44.43
AMND,1,2,2,39.828
AMOM,1,2030,57,37.3436
AMP,1,289821,10692,394.83
AMPD,1,237,3,22.46
AMPE,1,11749,112,1.76
AMPG,1,14811,67,2.03
AMPGW,1,800,1,0.11
AMPH,1,370808,8583,54.6
AMPL,1,313253,5161,13.62
AMPS,1,953585,8634,5.99
AMPX,1,317975,2587,4.3
AMPY,1,279061,2598,6.11
AMR,1,130171,6695,370.91
AMRC,1,277001,5345,22.39
AMRK,1,279225,6067,26.34
AMRN,1,810066,2261,1.23
AMRX,1,946498,11467,5.46
AMS,1,1137,28,2.6976
AMSC,1,931507,11251,10.93
AMSF,1,58551,2396,49.01
AMST,1,6783,87,2.37
AMSWA,1,104389,1431,10.96
AMT,1,1718445,31530,193.64
AMTB,1,104184,1556,22.16
AMTD,1,51516,237,1.69
AMTR,1,2,2,52.2213
AMTX,1,248619,3480,3.53
AMUB,1,5197,26,16.5892
AMWD,1,107115,3449,93.38
AMWL,1,841993,3069,1.08
AMX,1,1589616,11520,17.29
AMZA,1,22107,274,36.23
AMZD,1,7297,70,15.54
AMZN,1,41289628,399916,169.84
AMZP,1,394,29,29.6074
AMZU,1,304120,1383,31.71
AMZY,1,49187,618,22.27
AN,1,318286,9506,147.01
ANAB,1,254907,3686,23.13
ANDE,1,150172,4066,52.33
ANEB,1,2960,38,2.505
ANET,1,2430617,53688,275.89
ANEW,1,263,10,39.6513
ANF,1,1346079,21153,107.32
ANGH,1,6561,67,0.9642
ANGI,1,775808,6138,2.37
ANGL,1,881978,3669,28.83
ANGO,1,278587,3536,6.15
ANIK,1,49051,1342,23.66
ANIP,1,51848,2406,55.91
ANIX,1,102242,1020,4.48
ANL,1,345,7,8.86
ANNX,1,695231,5265,5.35
ANRO,1,218754,1101,18.98
ANSC,1,255681,21,10.14
ANSCU,1,257,2,10.23
ANSCW,1,2487,2,0.16
ANSS,1,395917,11032,345.33
ANTE,1,1624,22,0.74
ANTX,1,60012,1600,20.0
ANVS,1,132172,1274,10.84
ANY,1,1510061,4877,2.375
AOA,1,127682,1007,70.16
AOD,1,139994,484,8.04
AOK,1,76472,894,36.031
AOM,1,131898,1036,41.55
AOMR,1,45035,450,10.37
AON,1,1228575,23113,307.18
AONC,1,615,41,5.92
AONCW,1,52390,53,0.215
AOR,1,131561,863,53.65
AORT,1,121754,2042,16.99
AOS,1,815650,16038,80.25
AOSL,1,250274,5182,22.5
AOTG,1,3093,24,36.35
AOUT,1,16250,300,8.94
AP,1,18047,123,2.5
AP.WS,1,604,6,0.077
APA,1,6171000,52891,30.47
APAM,1,355026,6580,42.39
APCB,1,29687,199,29.43
APCX,1,52563,638,2.01
APCXW,1,4027,20,0.58
APD,1,2948702,48036,219.91
APDN,1,101942,458,0.6
APEI,1,86187,1967,11.125
APG,1,1424140,16028,34.87
APGE,1,177123,3487,37.0
APH,1,1822679,27962,104.86
API,1,84363,1027,2.88
APIE,1,31060,74,26.7962
APLD,1,3148093,20432,5.02
APLE,1,923155,9181,16.06
APLM,1,358553,768,0.714
APLS,1,2618393,16887,68.12
APLT,1,777854,5476,2.71
APLY,1,64724,704,18.42
APM,1,28609,176,1.39
APMU,1,6898,23,24.887
APO,1,3015360,44393,107.41
APOG,1,112386,2932,54.33
APOS,1,56871,476,27.06
APOpA,1,208464,363,61.83
APP,1,3373748,40374,46.55
APPF,1,192411,6757,236.73
APPN,1,263287,6871,32.64
APPS,1,10834900,56618,3.81
APRD,1,1871,13,24.92
APRE,1,9771,398,6.8799
APRH,1,3974,19,24.846
APRJ,1,6516,27,24.7553
APRQ,1,12215,30,24.7054
APRT,1,1147,5,34.3653
APRW,1,31637,41,29.9381
APRZ,1,0,0,30.8285
APT,1,33003,336,5.0
APTM,1,30000,2,10.71
APTO,1,47298,367,2.07
APTV,1,3679835,45621,81.29
APUE,1,59130,93,30.46
APVO,1,269943,515,0.147
APWC,1,1433,21,1.281
APYX,1,35713,359,2.58
AQB,1,16570,296,2.38
AQMS,1,151455,478,0.5781
AQN,1,3455283,9249,5.75
AQNB,1,14558,232,24.95
AQNU,1,25492,424,20.72
AQST,1,1096244,3104,2.68
AQU,1,4154,20,10.8
AQUNR,1,1269,6,0.189358
AQWA,1,1740,45,16.27
AR,1,5194003,35935,21.63
ARAY,1,285520,2283,2.49
ARB,1,14002,79,26.712
ARBB,1,8981,105,1.2002
ARBE,1,58398,307,1.83
ARBEW,1,2500,24,0.21
ARBK,1,1229653,4915,2.24
ARBKL,1,7384,65,9.56
ARC,1,64852,462,2.94
ARCB,1,348522,9792,139.81
ARCC,1,5523435,30367,20.01
ARCH,1,279639,9709,171.01
ARCM,1,193,7,100.26
ARCO,1,682346,7263,11.87
ARCT,1,445441,7787,37.91
ARDC,1,72405,422,13.71
ARDX,1,6278821,30708,9.27
ARE,1,1002949,18902,117.9
AREB,1,166970,251,0.2332
AREBW,1,3095,14,0.009463
AREC,1,86999,772,1.29
AREN,1,24448,251,1.19
ARES,1,2177012,37929,135.55
ARGD,1,6198,41,22.99
ARGOpA,1,5913,46,23.74
ARGT,1,44225,602,49.34
ARGX,1,186003,6733,394.89
ARHS,1,817743,10751,12.0
ARI,1,1097142,8561,10.65
ARIS,1,131085,2077,8.75
ARIZ,1,505,3,11.15
ARIZR,1,1400,7,0.181
ARIZW,1,100561,8,0.1618
ARKA,1,6739,114,44.9155
ARKB,1,2143980,11386,45.6
ARKC,1,1064,22,29.4801
ARKD,1,5852,80,32.6152
ARKF,1,668456,4726,27.3
ARKG,1,2178820,19262,29.87
ARKK,1,14530284,97934,48.44
ARKO,1,150810,1882,8.08
ARKQ,1,104930,1552,53.88
ARKR,1,1586,62,14.59
ARKW,1,291636,3086,74.61
ARKX,1,104164,729,14.42
ARKY,1,519,26,29.9134
ARKZ,1,4129,31,29.9491
ARL,1,2131,73,21.38
ARLO,1,713623,6818,8.71
ARLP,1,506753,4115,19.85
ARM,1,106502818,910332,113.89
ARMK,1,2979217,31506,29.41
ARMN,1,59147,253,3.07
ARMP,1,29762,179,3.96
AROC,1,798110,7095,16.17
AROW,1,47336,1021,24.25
ARP,1,107,2,25.9618
ARQ,1,43726,247,3.23
ARQQ,1,1866708,2914,0.538
ARQQW,1,17998,53,0.0929
ARQT,1,1317376,10572,5.7
ARR,1,1155646,11143,18.56
ARRW,1,915,18,9.7501
ARRWW,1,4000,1,0.1
ARRY,1,2692490,25492,14.16
ARRpC,1,14106,151,21.08
ARTL,1,26663,100,1.41
ARTLW,1,2800,3,0.015
ARTNA,1,17328,578,35.64
ARVN,1,1050104,13801,48.28
ARVR,1,726,2,35.3372
ARW,1,1259911,19888,113.4
ARWR,1,1761570,21480,30.85
ARYD,1,146,6,11.14
AS,1,1208005,8731,15.18
ASA,1,32375,164,14.41
ASAI,1,196171,1956,13.74
ASAN,1,1780098,18666,18.96
ASB,1,1015609,12606,19.92
ASBA,1,34099,243,22.73
ASBpE,1,5412,37,20.21
ASBpF,1,3216,34,19.255
ASC,1,590540,6942,15.95
ASCAW,1,503400,46,0.025
ASCB,1,125,3,10.87
ASCBR,1,22693,32,0.0609
ASEA,1,55161,71,14.75
ASET,1,14493,23,29.5133
ASG,1,309595,1085,5.38
ASGI,1,51450,357,17.67
ASGN,1,431876,11687,95.57
ASH,1,742353,12350,91.4
ASHR,1,4896301,7735,22.98
ASHS,1,8882,103,25.4625
ASHX,1,387,3,17.6061
ASIA,1,2243,25,24.775
ASIX,1,119796,2766,25.63
ASLE,1,481356,5589,9.02
ASLN,1,214012,1850,0.56
ASM,1,257916,376,0.4564
ASMB,1,2419135,3506,0.9751
ASML,1,1148796,41694,922.94
ASND,1,518792,8956,139.25
ASNS,1,7440,60,1.15
ASO,1,942174,16701,66.34
ASPI,1,333318,1630,3.04
ASPN,1,696810,7851,11.84
ASPS,1,42766,455,2.79
ASR,1,123982,2593,313.0
ASRT,1,476988,2489,0.793
ASRV,1,13554,93,2.91
ASST,1,245412,595,0.533
ASTE,1,85013,2569,35.41
ASTI,1,37099,213,0.72
ASTL,1,1395395,11914,7.94
ASTLW,1,35120,108,1.07
ASTR,1,129901,982,1.94
ASTS,1,8295620,30636,3.18
ASTSW,1,144199,142,0.77
ASUR,1,256472,3418,9.75
ASX,1,6712248,17231,9.43
ASXC,1,2116117,2099,0.2864
ASYS,1,45258,318,4.06
ATAI,1,837094,2745,1.75
ATAT,1,105983,1881,18.04
ATCOL,1,870,7,24.1333
ATCOpD,1,3258,55,24.37
ATCOpH,1,11512,111,23.9
ATEC,1,1149090,12281,16.65
ATEK,1,10089,54,11.11
ATEK.WS,1,97063,42,0.035
ATEN,1,1133421,9061,12.65
ATER,1,329472,992,0.364
ATEX,1,248055,2891,31.85
ATFV,1,3372,31,19.341
ATGE,1,512107,9366,49.17
ATGL,1,7142,277,11.88
ATHA,1,174393,1437,3.17
ATHE,1,7641,133,1.97
ATHM,1,710915,6159,25.38
ATHpA,1,273293,534,24.73
ATHpB,1,22838,164,21.82
ATHpC,1,34253,334,24.875
ATHpD,1,46051,399,18.68
ATHpE,1,20818,323,26.2
ATI,1,1250000,16518,40.75
ATIF,1,4256,77,0.812
ATIP,1,11259,127,6.28
ATKR,1,339716,6552,148.65
ATLC,1,5964,230,32.28
ATLCL,1,1749,88,23.4937
ATLCP,1,6164,45,21.8
ATLCZ,1,27147,100,24.83
ATLO,1,5343,108,18.31
ATLX,1,50391,949,18.97
ATMP,1,6704,34,21.4435
ATMU,1,538956,6581,21.85
ATNF,1,107170,449,0.2089
ATNFW,1,6257,9,0.0054
ATNI,1,276213,2619,34.04
ATNM,1,72375,1159,5.15
ATO,1,800129,18809,112.93
ATOM,1,292449,2680,7.635
ATOS,1,410734,1104,0.94
ATPC,1,178428,401,0.43
ATR,1,616939,12345,132.12
ATRA,1,3483797,10473,0.8259
ATRC,1,649673,11135,32.39
ATRI,1,7823,839,368.34
ATRO,1,95635,1903,17.99
ATS,1,97826,1258,41.1
ATSG,1,548728,7978,14.48
ATUS,1,3538379,14917,2.02
ATXG,1,89866,490,1.2
ATXI,1,971355,1222,0.1408
ATXS,1,465854,5370,15.26
AU,1,917307,9767,17.85
AUB,1,304010,6030,33.0
AUBN,1,249,18,20.36
AUBpA,1,21115,123,24.22
AUDC,1,146552,1952,13.67
AUGT,1,22120,56,26.89
AUGW,1,14828,92,26.5124
AUGX,1,262522,2594,4.32
AUGZ,1,15,1,35.1766
AUID,1,22876,183,9.85
AULT,1,1945447,6015,0.4
AUMI,1,801,3,24.625
AUMN,1,113173,314,0.4613
AUPH,1,1052762,8449,7.91
AUR,1,4519871,18244,3.24
AURA,1,141874,1371,8.2
AUROW,1,15371,49,0.2958
AUSF,1,50230,142,38.155
AUST,1,223721,813,0.8203
AUTL,1,12049732,34638,6.0
AUUD,1,63218,255,0.23
AUVI,1,382190,2520,1.96
AUVIP,1,2577,44,4.57
AVA,1,602450,9183,32.9
AVAH,1,45385,538,2.46
AVAL,1,99149,407,2.58
AVAV,1,181947,6014,124.57
AVB,1,796072,16294,174.53
AVBP,1,130184,1949,22.0
AVD,1,179697,2796,10.29
AVDE,1,307878,1297,59.42
AVDL,1,507698,4896,14.7
AVDS,1,13362,31,50.0492
AVDV,1,248500,1946,60.78
AVDX,1,1745987,16492,11.91
AVEE,1,761,23,51.08
AVEM,1,389288,2192,56.01
AVES,1,41364,342,45.82
AVGE,1,17824,229,65.27
AVGO,1,2738661,98065,1274.76
AVGR,1,2321,90,2.71
AVGV,1,12578,97,55.93
AVHI,1,400,4,10.9999
AVIE,1,1275,12,59.0961
AVIG,1,43163,198,41.121
AVIR,1,845726,5393,4.26
AVIV,1,12984,142,50.39
AVK,1,51599,301,11.9
AVLC,1,2149,20,57.9582
AVLV,1,179148,695,59.28
AVMA,1,256,5,54.1666
AVMC,1,942,15,56.4637
AVMU,1,2824,23,46.55
AVMV,1,897,4,55.9161
AVNM,1,4801,27,52.9359
AVNS,1,252673,4884,19.33
AVNT,1,332653,7694,37.01
AVNV,1,4,3,53.371
AVNW,1,395034,5675,33.1
AVO,1,200248,2966,10.39
AVPT,1,658183,6926,7.97
AVPTW,1,3314,14,1.04
AVRE,1,30846,203,41.31
AVRO,1,140543,565,1.3
AVSC,1,43403,286,49.11
AVSD,1,4093,42,53.2226
AVSE,1,1472,20,47.5726
AVSF,1,18904,104,46.24
AVSU,1,7455,84,58.1025
AVT,1,1710252,19689,44.72
AVTE,1,59450,995,20.53
AVTR,1,4333686,35752,23.3
AVTX,1,21963,283,4.55
AVUS,1,154913,1191,84.01
AVUV,1,570133,5466,86.99
AVXL,1,1118028,8891,5.69
AVY,1,346249,10458,202.97
AWAY,1,16467,159,19.3
AWEG,1,15,7,22.5838
AWF,1,147960,594,10.39
AWH,1,26357,289,4.67
AWI,1,496362,10447,104.61
AWIN,1,4857953,2881,0.095
AWINW,1,2675,30,0.0093
AWK,1,877314,19346,121.83
AWP,1,171525,636,3.71
AWR,1,230839,5497,75.11
AWRE,1,4326,60,1.68
AX,1,452669,9627,50.32
AXDX,1,179166,751,1.29
AXGN,1,284708,3484,9.87
AXL,1,662441,6708,8.12
AXNX,1,777299,8935,67.95
AXON,1,299606,13402,269.0
AXP,1,4090530,66928,211.21
AXR,1,1102,74,20.92
AXS,1,703661,11819,58.81
AXSM,1,493084,11185,95.68
AXSpE,1,29886,393,22.39
AXTA,1,8740726,60148,31.05
AXTI,1,111908,950,2.47
AY,1,551684,6680,18.4
AYI,1,228306,7658,241.78
AYRO,1,13250,217,1.8
AYTU,1,4393,77,2.65
AYX,1,1125201,9304,47.66
AZ,1,60774,250,1.0623
AZEK,1,2664319,32622,45.97
AZN,1,28902271,213318,63.52
